resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24632,1031,815,211,11,6,6,6,6,8,71,15.092,5470831,63,6,01:08.3,227.579,1
24652,1032,815,211,11,17,6,6,6,8,71,+1:02.387,5033070,68,4,01:07.2,231.362,1
24673,1033,815,211,11,4,7,7,7,6,69,\N,\N,39,10,01:20.1,196.923,11
24731,1036,815,211,11,4,5,5,5,10,65,\N,\N,58,16,01:22.5,203.09,11
24756,1037,815,211,11,8,10,10,10,1,44,53.179,5101940,20,9,01:48.4,232.628,1
24776,1038,815,211,11,4,10,10,10,1,53,23.224,6449280,50,8,01:24.3,247.282,1
24791,1039,815,211,11,7,5,5,5,10,59,15.65,8390710,59,5,01:20.6,234.175,1
24810,1040,815,211,11,4,4,4,4,12,53,30.558,5670922,52,8,01:38.1,214.515,1
24830,1041,815,211,11,9,4,4,4,12,60,16.07,5765711,58,4,01:29.7,206.608,1
24853,1042,815,211,11,5,7,7,7,6,65,\N,\N,49,11,01:20.8,207.306,11
24872,1043,815,211,11,11,6,6,6,8,63,19.652,5332082,49,9,01:18.1,226.325,1
24888,1044,815,211,11,3,2,2,2,18,58,31.633,6170946,50,12,01:40.4,191.417,1
24924,1045,815,211,11,5,18,18,18,0,53,\N,\N,40,9,01:33.6,208.089,5
24927,1046,815,211,11,5,1,1,1,25,87,31:15.1,5475114,69,3,00:56.8,224.599,1
24966,1047,815,211,11,19,\N,R,20,0,8,\N,\N,6,19,01:43.3,193.625,7
24645,1031,817,4,3,10,\N,R,19,0,17,\N,\N,8,19,01:10.6,220.15,25
24654,1032,817,4,3,8,8,8,8,4,71,+1:02.591,5033274,65,9,01:07.8,229.166,1
24674,1033,817,4,3,11,8,8,8,4,69,\N,\N,46,7,01:19.5,198.305,11
24690,1034,817,4,3,8,4,4,4,12,52,19.65,5300933,49,5,01:29.5,237.004,1
24720,1035,817,4,3,5,14,14,14,0,51,\N,\N,39,16,01:31.2,232.621,11
24737,1036,817,4,3,13,11,11,11,0,65,\N,\N,51,14,01:22.5,203.215,11
24750,1037,817,4,3,4,4,4,4,13,44,18.877,5067638,44,1,01:47.5,234.589,1
24772,1038,817,4,3,7,6,6,6,8,53,8.391,6434447,38,4,01:23.9,248.573,1
24790,1039,817,4,3,8,4,4,4,12,59,10.417,8385477,57,4,01:20.4,234.774,1
24811,1040,817,4,3,5,5,5,5,10,53,52.065,5692429,53,6,01:37.9,215.074,1
24829,1041,817,4,3,6,3,3,3,15,60,14.613,5764254,53,3,01:29.6,206.876,1
24855,1042,817,4,3,10,9,9,9,2,65,\N,\N,61,14,01:20.9,207.04,11
24869,1043,817,4,3,5,3,3,3,15,63,14.32,5326750,62,4,01:17.6,227.878,1
24896,1044,817,4,3,5,10,10,10,1,58,+1:35.460,6234773,54,13,01:40.7,190.875,1
24913,1045,817,4,3,6,7,7,7,6,57,19.368,10806883,38,2,01:32.8,209.887,1
24931,1046,817,4,3,7,5,5,5,10,87,13.33,5488444,57,6,00:57.0,223.85,1
24953,1047,817,4,3,11,7,7,7,7,55,+1:13.748,5862393,55,1,01:40.9,198.109,1
24566,1031,822,131,77,1,1,1,1,25,71,30:55.7,5455739,68,2,01:07.7,229.758,1
24648,1032,822,131,77,4,2,2,2,18,71,13.719,4984402,62,7,01:07.5,230.177,1
24669,1033,822,131,77,2,3,3,3,15,70,9.452,5781925,66,2,01:17.7,203.072,1
24697,1034,822,131,77,2,11,11,11,0,52,42.167,5323450,41,4,01:29.3,237.58,1
24709,1035,822,131,77,1,3,3,3,15,52,19.231,4801224,44,4,01:29.8,236.256,1
24729,1036,822,131,77,2,3,3,3,16,66,44.752,5550031,66,1,01:18.2,214.343,1
24748,1037,822,131,77,2,2,2,2,18,44,8.448,5057209,27,5,01:48.0,233.503,1
24771,1038,822,131,77,2,5,5,5,10,53,7.108,6433164,51,5,01:24.0,248.386,1
24788,1039,822,131,77,2,2,2,2,18,59,4.88,8379940,53,2,01:19.4,237.712,1
24807,1040,822,131,77,3,1,1,1,26,53,34:00.4,5640364,51,1,01:37.0,216.972,1
24845,1041,822,131,77,1,\N,R,19,0,18,\N,\N,8,15,01:31.9,201.697,131
24848,1042,822,131,77,2,2,2,2,18,66,25.592,5422420,66,2,01:19.3,211.113,1
24868,1043,822,131,77,1,2,2,2,18,63,5.783,5318213,63,2,01:15.9,232.831,1
24900,1044,822,131,77,9,14,14,14,0,57,\N,\N,57,2,01:38.2,195.704,11
24914,1045,822,131,77,2,8,8,8,4,57,19.68,10807195,28,4,01:33.4,208.706,1
24934,1046,822,131,77,1,8,8,8,4,87,15.389,5490503,60,2,00:56.6,225.497,1
24948,1047,822,131,77,2,2,2,2,18,55,15.976,5804621,40,3,01:41.1,197.707,1
24643,1031,825,210,20,16,\N,R,17,0,24,\N,\N,23,20,01:10.7,219.807,23
24658,1032,825,210,20,15,12,12,12,0,70,\N,\N,69,11,01:08.0,228.569,11
24676,1033,825,210,20,0,10,10,10,1,69,\N,\N,67,6,01:19.5,198.492,11
24705,1034,825,210,20,14,\N,R,19,0,1,\N,\N,40,0,\N,\N,4
24726,1035,825,210,20,17,\N,R,20,0,43,\N,\N,39,20,01:31.8,230.944,31
24741,1036,825,210,20,16,15,15,15,0,65,\N,\N,64,19,01:23.5,200.757,11
24763,1037,825,210,20,20,17,17,17,0,44,+1:25.540,5134301,37,7,01:48.1,233.287,1
24785,1038,825,210,20,15,\N,R,19,0,17,\N,\N,10,18,01:25.8,243.099,131
24802,1039,825,210,20,20,\N,R,16,0,5,\N,\N,4,17,02:13.8,141.108,4
24818,1040,825,210,20,18,12,12,12,0,52,\N,\N,52,17,01:40.4,209.731,11
24839,1041,825,210,20,15,13,13,13,0,60,49.585,5799226,37,8,01:30.5,204.881,1
24862,1042,825,210,20,19,16,16,16,0,65,\N,\N,63,16,01:21.5,205.632,11
24884,1043,825,210,20,17,\N,R,18,0,47,\N,\N,45,18,01:19.3,222.93,139
24903,1044,825,210,20,13,17,17,17,0,55,\N,\N,45,15,01:40.9,190.363,54
24923,1045,825,210,20,18,17,17,17,0,56,\N,\N,29,18,01:35.2,204.567,11
24941,1046,825,210,20,15,15,15,15,0,87,32.37,5507484,57,16,00:57.5,221.76,1
24964,1047,825,210,20,20,18,18,18,0,54,\N,\N,50,13,01:42.0,196.025,11
24638,1031,826,213,26,13,12,12,12,0,69,\N,\N,50,13,01:09.1,224.847,22
24656,1032,826,213,26,13,10,10,10,1,70,\N,\N,60,13,01:08.4,227.336,11
24678,1033,826,213,26,17,12,12,12,0,69,\N,\N,51,18,01:20.9,194.841,11
24704,1034,826,213,26,19,\N,R,18,0,11,\N,\N,11,18,01:32.4,229.412,3
24716,1035,826,213,26,16,10,10,10,1,52,+1:09.669,4851662,52,12,01:30.7,233.723,1
24738,1036,826,213,26,12,12,12,12,0,65,\N,\N,47,12,01:22.3,203.531,11
24757,1037,826,213,26,11,11,11,11,0,44,+1:10.200,5118961,28,15,01:49.8,229.572,1
24775,1038,826,213,26,11,9,9,9,2,53,22.208,6448264,44,10,01:24.5,246.863,1
24793,1039,826,213,26,12,7,7,7,6,59,21.756,8396816,51,10,01:21.5,231.8,1
24814,1040,826,213,26,11,8,8,8,4,53,+1:08.740,5709104,48,12,01:39.1,212.369,1
24841,1041,826,213,26,13,15,15,15,0,60,55.588,5805229,41,16,01:32.2,200.975,1
24865,1042,826,213,26,13,19,19,19,0,64,\N,\N,59,8,01:20.4,208.216,12
24870,1043,826,213,26,8,4,4,4,12,63,15.141,5327571,62,6,01:17.7,227.543,1
24898,1044,826,213,26,16,12,12,12,0,57,\N,\N,53,17,01:41.0,190.229,11
24917,1045,826,213,26,10,11,11,11,0,56,\N,\N,35,12,01:34.1,206.957,11
24933,1046,826,213,26,6,7,7,7,6,87,14.534,5489648,80,7,00:57.0,223.764,1
24957,1047,826,213,26,7,11,11,11,0,54,\N,\N,47,17,01:42.7,194.679,11
24646,1031,830,9,33,2,\N,R,20,0,11,\N,\N,5,15,01:09.4,224.146,40
24649,1032,830,9,33,2,3,3,3,15,71,33.698,5004381,70,2,01:06.1,235.01,1
24668,1033,830,9,33,7,2,2,2,18,70,8.702,5781175,60,4,01:19.2,199.176,1
24688,1034,830,9,33,3,2,2,2,19,52,5.856,5287139,52,1,01:27.1,243.494,1
24707,1035,830,9,33,4,1,1,1,25,52,19:42.0,4781993,46,2,01:29.5,237.049,1
24728,1036,830,9,33,3,2,2,2,18,66,24.177,5529456,53,4,01:21.5,205.677,1
24749,1037,830,9,33,3,3,3,3,15,44,15.455,5064216,27,8,01:48.3,232.809,1
24783,1038,830,9,33,5,\N,R,17,0,30,\N,\N,10,17,01:25.5,243.804,131
24805,1039,830,9,33,3,\N,R,19,0,0,\N,\N,40,0,\N,\N,4
24808,1040,830,9,33,2,2,2,2,18,53,7.729,5648093,53,3,01:37.3,216.298,1
